ASN,CC,IP,numberOfIPs,abusePercent
12306,DE,1,48960,2.0424836601307188e-05
12310,RO,1,57120,1.7507002801120447e-05
12312,DE,7,1053915,6.641901861155786e-06
12315,NL,1,13260,7.541478129713424e-05
12321,ES,1,28560,3.501400560224089e-05
12322,FR,338,11073120,3.0524368922218845e-05
12327,EU,4845,4845,1.0
12332,RU,10,177480,5.634437683119225e-05
12334,ES,26,498525,5.2153853868913286e-05
12337,DE,1,94605,1.057026584218593e-05
12338,ES,39,488325,7.986484410996775e-05
12346,PL,1,16575,6.0331825037707385e-05
12350,CH,1,412335,2.4252125092461233e-06
12353,PT,71,1203345,5.90021980396312e-05
12355,DE,1,66300,1.5082956259426846e-05
12357,ES,28,786165,3.561593304204588e-05
12361,GR,4,75225,5.317381189764042e-05
12365,UZ,17,25500,0.0006666666666666666
1237,KR,2,298467,6.700908308121166e-06
12374,DE,1,33915,2.948547840188707e-05
12380,RU,3,18360,0.0001633986928104575
12386,ES,2,31365,6.376534353578829e-05
12389,RU,5076,8540970,0.0005943118872914902
1239,US,514,2384456,0.00021556279503584882
12390,GB,8,252195,3.172148535855192e-05
12392,BE,24,421260,5.697194131890044e-05
12400,IL,38,690284,5.504980558726553e-05
12406,BY,9,20910,0.000430416068866571
12408,UA,13,255,0.05098039215686274
1241,EU,87,604605,0.000143895601260327
12414,NL,1,143310,6.977880120019537e-06
12418,RU,5,68595,7.289161017566877e-05
12422,DE,1,73185,1.366400218624035e-05
12426,SK,1,4845,0.0002063983488132095
12430,ES,122,3149010,3.874233489255353e-05
12436,BG,3,10200,0.0002941176470588235
12437,DE,1,8160,0.00012254901960784314
12438,UA,2,2040,0.0009803921568627449
12445,IT,1,26520,3.770739064856712e-05
12455,KE,6,299625,2.002503128911139e-05
1246,US,4,44880,8.912655971479499e-05
12479,ES,186,6519075,2.85316551811415e-05
12486,YE,2,7140,0.00028011204481792715
12488,GR,6,6120,0.0009803921568627449
12491,IL,3,77520,3.869969040247678e-05
