ASN,CC,IP,numberOfIPs,abusePercent
21345,GB,1,7395,0.0001352265043948614
21351,FR,5,205275,2.435756911460236e-05
21353,RU,4,37740,0.00010598834128245892
21365,RU,3,36720,8.169934640522875e-05
21367,RU,7,26265,0.000266514372739387
21379,UA,1,2040,0.0004901960784313724
21385,DE,1,28305,3.532944709415297e-05
21396,GB,3,15810,0.00018975332068311195
21409,FR,18,56100,0.0003208556149732621
21412,LT,11,179010,6.144908105692421e-05
21413,DE,7,105825,6.614694070399244e-05
21419,IR,1,3060,0.000326797385620915
21430,CZ,4,13770,0.0002904865649963689
21437,UA,2,3825,0.0005228758169934642
21438,RU,1,4590,0.00021786492374727668
21450,IL,1,5865,0.00017050298380221653
21453,RU,15,101187,0.00014824038661092828
21476,DE,1,4080,0.00024509803921568627
21479,RU,26,33660,0.0007724301841948901
2148,EU,1,3315,0.00030165912518853697
21480,RU,1,11220,8.912655971479499e-05
21485,SE,2,765,0.00261437908496732
21487,RU,10,26520,0.0003770739064856712
2149,US,1,255,0.0039215686274509795
21491,UG,6,65280,9.191176470588237e-05
21497,UA,6,314160,1.9098548510313212e-05
21502,FR,31,1561620,1.985118018468001e-05
21503,SE,1,17340,5.7670126874279124e-05
21515,US,1,4080,0.00024509803921568627
2152,US,2,2051631,9.748341685225071e-07
21547,US,2,82365,2.4282158683907e-05
21548,CA,1,29070,3.439972480220158e-05
21554,US,4,32895,0.00012159902720778232
21555,US,1,8160,0.00012254901960784314
21556,US,1,510,0.0019607843137254897
21557,US,1,13005,7.689350249903884e-05
21559,PR,5,16830,0.00029708853238265005
21565,US,2,115005,1.7390548237033168e-05
21570,CA,4,91290,4.381640924526235e-05
21571,BR,1,16320,6.127450980392157e-05
21574,BR,2,13260,0.00015082956259426848
21580,US,1,10965,9.119927040583675e-05
21581,US,2,5100,0.000392156862745098
21599,PA,14,88995,0.0001573122085510422
21621,US,72,5355,0.013445378151260505
21627,US,1,24480,4.0849673202614376e-05
21632,US,1,6885,0.00014524328249818444
21637,US,2,89505,2.2345120384336072e-05
21669,US,1,8160,0.00012254901960784314
21688,US,4,38250,0.0001045751633986928
21698,US,1,255,0.0039215686274509795
217,US,1,324360,3.082994203970896e-06
21704,US,1,66300,1.5082956259426846e-05
21713,US,2,17595,0.00011366865586814436
21725,US,1,23970,4.171881518564873e-05
21735,US,1,25755,3.882741215298001e-05
21740,US,4,16065,0.00024898848428260193
21744,KY,1,3315,0.00030165912518853697
21755,US,1,6630,0.00015082956259426848
21766,US,4,44880,8.912655971479499e-05
21769,US,5,199410,2.5073968206208318e-05
21777,US,1,36465,2.742355683532154e-05
21782,US,4,24480,0.0001633986928104575
21789,US,2,19890,0.00010055304172951231
21804,CA,2,87465,2.286628937289201e-05
21823,US,1,3825,0.00026143790849673205
21826,VE,41,317220,0.0001292478406153458
21830,US,1,15300,6.535947712418301e-05
21832,US,1,4590,0.00021786492374727668
21837,US,68,4335,0.015686274509803918
21852,US,2,311865,6.4130312795600666e-06
21859,US,101,283050,0.00035682741565094513
21891,US,1,3315,0.00030165912518853697
21921,US,2,8160,0.00024509803921568627
21928,US,564,8383154,6.727778113106356e-05
21945,US,1,1785,0.0005602240896358543
21949,CA,3,58898,5.09355156372033e-05
21980,VE,1,12495,8.003201280512204e-05
21981,US,1,12240,8.169934640522875e-05
21983,US,255,255,1.0
2199,EU,3,3060,0.0009803921568627449
21996,US,1,12750,7.843137254901961e-05
2200,FR,30,1906148,1.5738547059304944e-05
2202,EU,1,66555,1.5025167154984601e-05
22047,CL,110,1373175,8.010632293771733e-05
22051,US,1,14025,7.130124777183601e-05
22070,US,2,11475,0.00017429193899782134
22075,US,4,2040,0.0019607843137254897
22079,US,1,8160,0.00012254901960784314
22085,BR,48,1580740,3.036552500727507e-05
22098,US,1,6375,0.00015686274509803922
22102,US,1,4080,0.00024509803921568627
22113,CA,2,4335,0.000461361014994233
22128,BR,1,8160,0.00012254901960784314
22136,US,1,12240,8.169934640522875e-05
22150,US,2,4845,0.000412796697626419
22177,BR,1,9180,0.00010893246187363834
22186,US,2,47175,4.239533651298357e-05
22191,US,4,35700,0.00011204481792717087
22221,US,1,28560,3.501400560224089e-05
22302,US,1,24735,4.042854255104104e-05
22306,JM,1,2040,0.0004901960784313724
22322,US,1,3060,0.000326797385620915
22324,US,1,3315,0.00030165912518853697
22343,US,1,37740,2.649708532061473e-05
22351,US,3,201705,1.4873205919535956e-05
22354,TZ,1,12240,8.169934640522875e-05
22363,US,6,109905,5.4592602702333836e-05
22364,US,2,25500,7.843137254901961e-05
22368,CO,58,143055,0.00040543846772220476
22372,CA,1,255,0.0039215686274509795
22379,US,1,35190,2.841716396703609e-05
22381,BR,1,14280,7.002801120448179e-05
22394,US,719,13640460,5.271083233263394e-05
224,NO,6,1110525,5.402850003376782e-06
22411,PE,8,15555,0.0005143040822886531
22423,CA,5,132090,3.7852979029449615e-05
22431,BR,8,8160,0.0009803921568627449
22436,US,1,765,0.00130718954248366
22439,US,6,28815,0.00020822488287350338
22457,CA,1,22695,4.406256884776383e-05
22489,US,2,31365,6.376534353578829e-05
22548,BR,2,4080,0.0004901960784313724
22552,US,5,210630,2.3738308882875185e-05
22555,PR,1,1020,0.0009803921568627449
22556,US,1,13769,7.262691553489724e-05
22561,US,6,1039890,5.7698410408793236e-06
22566,MX,4,173910,2.3000402507043876e-05
22581,VI,1,6120,0.0001633986928104575
22598,US,1,6885,0.00014524328249818444
226,US,1,265200,3.7707390648567116e-06
22606,US,46,54825,0.0008390332877336983
22611,US,25,42075,0.0005941770647653001
22612,US,213,22185,0.009601081812035159
22616,US,3,42840,7.002801120448179e-05
22646,US,2,119340,1.6758840288252053e-05
22647,US,1,17850,5.6022408963585436e-05
22652,CA,6,86955,6.900120752113163e-05
22653,US,7,57885,0.0001209294290403386
22658,US,1,13515,7.399186089530153e-05
22689,BR,20,160140,0.00012489072061945796
22698,CO,1,19890,5.0276520864756156e-05
22709,US,10,55845,0.0001790670606142
22724,EC,23,71145,0.00032328343523789445
22740,Unknown,1,8160,0.00012254901960784314
22747,US,3,13515,0.00022197558268590453
22748,CA,1,2040,0.0004901960784313724
22750,ZA,1,60435,1.654670306941342e-05
22768,US,1,7140,0.00014005602240896358
22769,US,1024,11985,0.0854401335002086
22772,US,1,33150,3.0165912518853693e-05
22773,US,389,11509945,3.379686001974814e-05
22781,US,2,35700,5.6022408963585436e-05
22799,CA,3,36465,8.227067050596463e-05
2280,EU,4,8415,0.00047534165181224003
22843,US,2,6375,0.00031372549019607844
22860,CL,1,12495,8.003201280512204e-05
22861,US,1,1020,0.0009803921568627449
22869,HN,2,4335,0.000461361014994233
22878,US,4,14280,0.00028011204481792715
22884,MX,1,4080,0.00024509803921568627
22898,US,2,34935,5.7249177043080005e-05
22905,US,11,16830,0.00065359477124183
22923,CA,8,47430,0.0001686696183849884
22927,AR,350,3683985,9.500581571314758e-05
22989,US,2,255,0.007843137254901959
22995,CA,2,314415,6.361019671453334e-06
23005,US,512,194055,0.002638427250006441
23028,US,16320,66417,0.2457202222322598
23031,EC,4080,6375,0.64
23033,US,24,48705,0.0004927625500461965
23089,US,19,292988,6.484907231695496e-05
23100,US,5,48450,0.00010319917440660473
23106,BR,21,199920,0.00010504201680672271
23108,US,765,765,1.0
23136,CA,1,24480,4.0849673202614376e-05
23138,US,1,82555,1.2113136696747626e-05
23148,US,4,221595,1.8050948802996455e-05
23155,US,1,16320,6.127450980392157e-05
23175,US,1,17595,5.683432793407218e-05
23184,CA,19,149175,0.0001273671861907156
23188,US,1,8670,0.00011534025374855825
23201,PY,78,785400,9.931245225362873e-05
23205,US,2,100725,1.9856043683296107e-05
23243,GT,10,36465,0.0002742355683532154
23265,US,2,24480,8.169934640522875e-05
23308,US,1,30345,3.295435821387378e-05
23314,US,17,53295,0.00031897926634768734
23316,US,1,48450,2.063983488132095e-05
23338,US,43,47940,0.0008969545264914477
23342,US,1,91035,1.0984786071291264e-05
23352,US,33,233835,0.00014112515235101673
23383,HN,12,41565,0.000288704438830747
23391,US,2,17850,0.00011204481792717087
23393,US,3,59160,5.070993914807302e-05
23404,US,2,32895,6.079951360389117e-05
23424,US,1,765,0.00130718954248366
23465,US,3,35955,8.343763037129746e-05
23467,US,1,1275,0.000784313725490196
23470,US,5,11985,0.00041718815185648727
23473,US,1,143310,6.977880120019537e-06
23487,EC,5,82110,6.089392278650591e-05
23498,CA,1,70125,1.42602495543672e-05
23520,US,11,175950,6.25177607274794e-05
23535,US,1,13005,7.689350249903884e-05
23546,US,1,4080,0.00024509803921568627
23563,Unknown,2,203233,9.840921503889624e-06
23576,Unknown,14,116526,0.00012014486037450869
23584,Unknown,2,74715,2.676838653550157e-05
23596,Unknown,1,1785,0.0005602240896358543
23599,Unknown,1,1306,0.0007656967840735068
23600,Unknown,1,2040,0.0004901960784313724
23624,Unknown,1,30600,3.2679738562091506e-05
23628,Unknown,3,12240,0.00024509803921568627
23629,Unknown,2,27030,7.399186089530153e-05
23634,Unknown,1,255,0.0039215686274509795
23647,NP,5,1785,0.0028011204481792717
23650,CN,138,311100,0.0004435872709739634
23655,NZ,8,185640,4.309416074121957e-05
23659,MY,2,3570,0.0005602240896358543
23671,ID,3,4590,0.00065359477124183
23673,KH,35,30600,0.0011437908496732027
23674,PK,28,73440,0.0003812636165577342
23678,MY,1,17340,5.7670126874279124e-05
23679,ID,31,26265,0.001180277936417285
23682,IN,4,18105,0.00022093344380005517
23688,BD,63,51000,0.0012352941176470588
23693,Unknown,38,4679505,8.120517020496826e-06
23699,Unknown,1,4080,0.00024509803921568627
237,US,512,4991203,0.00010258048009668209
23700,Unknown,76,770100,9.868848201532268e-05
23714,KR,1,35190,2.841716396703609e-05
23724,CN,631,2865454,0.0002202094327809834
23734,US,2,2295,0.0008714596949891067
23738,US,1,2805,0.00035650623885917997
23750,PK,5,17850,0.00028011204481792715
23752,NP,8,115260,6.94082942911678e-05
23756,ID,1,11985,8.343763037129746e-05
23770,IN,1,510,0.0019607843137254897
23771,CN,6,501840,1.1956001912960305e-05
23772,IN,4,169320,2.362390739428301e-05
23774,Unknown,1,255,0.0039215686274509795
23775,Unknown,1,9180,0.00010893246187363834
23776,Unknown,1,6120,0.0001633986928104575
23777,Unknown,1,20910,4.782400765184122e-05
23778,Unknown,1,20400,4.901960784313725e-05
23780,Unknown,1,16320,6.127450980392157e-05
23783,Unknown,1,28305,3.532944709415297e-05
23788,Unknown,2,24480,8.169934640522875e-05
2379,US,1,491385,2.035064155397499e-06
23791,Unknown,6,52020,0.00011534025374855825
23817,Unknown,1,12240,8.169934640522875e-05
23828,Unknown,1,3060,0.000326797385620915
23844,Unknown,8,185840,4.304778303917348e-05
23853,Unknown,1,24480,4.0849673202614376e-05
2386,US,81,506430,0.00015994313133108228
23860,IN,32,67065,0.0004771490345187504
23862,PH,1,3315,0.00030165912518853697
23869,NZ,2,765,0.00261437908496732
23872,IN,3,6120,0.0004901960784313724
23881,HK,2,21165,9.449562957713204e-05
23884,TH,4,30855,0.0001296386323124291
23887,PH,1,8160,0.00012254901960784314
23888,PK,9,24480,0.0003676470588235294
23889,MU,22,857565,2.5654032055879146e-05
23893,BD,5,3570,0.0014005602240896359
23900,LA,1,2040,0.0004901960784313724
23902,VN,1,2040,0.0004901960784313724
23905,NZ,2,65535,3.0518043793392844e-05
23910,CN,1,6630,0.00015082956259426848
23923,BD,18,25245,0.0007130124777183599
23930,PH,2,40290,4.9640109208240255e-05
23944,PH,12,127500,9.411764705882352e-05
23947,Unknown,27,42330,0.0006378454996456414
23949,Unknown,7,10200,0.0006862745098039216
23953,Unknown,5,11475,0.00043572984749455336
23956,BD,26,55590,0.00046771001978773165
23966,PK,8,68340,0.0001170617500731636
23969,TH,618,1163565,0.0005311263229815267
23980,KR,1,65280,1.5318627450980392e-05
23988,PH,1,765,0.00130718954248366
23991,BD,12,5100,0.002352941176470588
24012,SG,2,5100,0.000392156862745098
24016,MV,1,14280,7.002801120448179e-05
24028,MY,3,23205,0.0001292824822236587
24033,AU,5,110415,4.528370239550786e-05
24066,VN,1,2040,0.0004901960784313724
24085,VN,6,33660,0.00017825311942958999
24086,Unknown,153,751230,0.00020366598778004077
24088,Unknown,4,19125,0.0002091503267973856
24089,Unknown,1,1020,0.0009803921568627449
24122,BD,14,10200,0.0013725490196078432
24138,Unknown,51,1574625,3.2388663967611336e-05
24139,Unknown,47,456960,0.00010285364145658265
24151,Unknown,12,14505,0.0008273009307135469
24154,Unknown,1,82110,1.217878455730118e-05
24155,Unknown,1,8415,0.00011883541295306001
24157,Unknown,1,167280,5.978000956480152e-06
24163,Unknown,4,27540,0.00014524328249818444
24164,Unknown,25,236130,0.00010587388303053402
24165,Unknown,9,19890,0.00045248868778280556
24173,VN,10,65277,0.00015319331464374894
24183,NZ,1,13770,7.262164124909222e-05
24186,IN,56,36465,0.0015357191827780065
24187,TH,4,20910,0.00019129603060736493
24195,Unknown,1,3825,0.00026143790849673205
24200,Unknown,2,2040,0.0009803921568627449
24203,Unknown,21,53295,0.0003940332113706727
24207,Unknown,12,22950,0.0005228758169934642
24211,Unknown,2,3060,0.00065359477124183
24213,Unknown,1,6630,0.00015082956259426848
24218,MY,3,65535,4.577706569008927e-05
24246,HK,1,7905,0.0001265022137887413
24249,Unknown,3,24480,0.00012254901960784314
24252,Unknown,1,255,0.0039215686274509795
24259,Unknown,1,15300,6.535947712418301e-05
24271,Unknown,3,16320,0.0001838235294117647
24276,Unknown,6,69360,8.650519031141868e-05
24282,Unknown,6,88995,6.741951795044665e-05
24289,Unknown,1,6120,0.0001633986928104575
24290,Unknown,1,6120,0.0001633986928104575
24295,Unknown,1022,48450,0.02109391124871001
24296,Unknown,5,48960,0.00010212418300653596
24309,IN,93,152745,0.0006088579004222724
24312,SG,1,2550,0.000392156862745098
24320,MN,7,2040,0.003431372549019608
24321,MY,1,27540,3.6310820624546116e-05
24323,BD,43,18360,0.0023420479302832245
24337,LA,6,3825,0.001568627450980392
24342,BD,16,42330,0.00037798251830852816
24378,TH,6,197115,3.043908378357812e-05
24389,BD,5,22950,0.00021786492374727668
24390,FJ,2,65280,3.0637254901960784e-05
24399,HK,1,8415,0.00011883541295306001
24400,CN,499,735165,0.000678759190113784
24406,Unknown,5,2613,0.0019135093761959434
24409,Unknown,3,1530,0.0019607843137254897
24413,Unknown,3,4335,0.0006920415224913495
24429,Unknown,26,13260,0.0019607843137254897
24432,BD,1,4845,0.0002063983488132095
24435,PK,5,18360,0.0002723311546840959
24436,AU,17,85425,0.0001990049751243781
24439,MH,1,4590,0.00021786492374727668
24441,KH,3,6120,0.0004901960784313724
24444,CN,759,1875525,0.00040468668772743633
24445,Unknown,92,1754400,5.243958048335614e-05
24446,AU,18,14535,0.001238390092879257
24466,NZ,2,8670,0.0002306805074971165
24474,NP,1,255,0.0039215686274509795
24481,BD,2,2040,0.0009803921568627449
24492,KH,1038,12240,0.08480392156862747
24496,MN,1,1785,0.0005602240896358543
24514,MY,1,8925,0.00011204481792717087
24515,IN,1,2295,0.00043572984749455336
24521,Unknown,6,9690,0.0006191950464396285
24523,Unknown,3,10965,0.00027359781121751026
24525,Unknown,11,10200,0.0010784313725490195
24526,Unknown,1,6120,0.0001633986928104575
24527,Unknown,16,4080,0.0039215686274509795
24528,Unknown,1,1785,0.0005602240896358543
24530,Unknown,7,4080,0.001715686274509804
24532,Unknown,20,12495,0.001600640256102441
24538,ID,1,2040,0.0004901960784313724
24547,CN,330,614550,0.0005369782767878936
24550,NP,7,19380,0.0003611971104231166
24554,IN,25,81345,0.0003073329645337759
24556,BD,11,4335,0.002537485582468281
24559,MN,7,3060,0.002287581699346405
24560,IN,386,2577285,0.00014977000991353305
24588,RU,3,12750,0.00023529411764705883
24589,LV,9,68324,0.00013172530882266846
24593,UA,1,278,0.0035971223021582736
24608,IT,5,2163419,2.311156553584858e-06
24626,RU,10,20400,0.0004901960784313724
24631,IR,123,127755,0.0009627803217095221
24634,LB,2,22440,8.912655971479499e-05
24641,CZ,2,11475,0.00017429193899782134
24642,NL,1,17340,5.7670126874279124e-05
24651,LV,7,80325,8.714596949891067e-05
24663,RU,3,11220,0.00026737967914438503
24679,DE,2,63240,3.162555344718533e-05
24685,UA,1,2036,0.0004911591355599214
24689,RU,2,19380,0.00010319917440660473
24691,TG,2,224400,8.912655971479501e-06
24699,RU,5,20145,0.0002482005460412013
24700,VG,5,510,0.00980392156862745
24703,UA,1,6617,0.00015112588786459117
24722,RU,24,19890,0.001206636500754148
24739,RU,6,55335,0.00010843046896177824
24744,SK,1,4590,0.00021786492374727668
24757,ET,67,294780,0.00022728814709274716
24758,UA,1,4590,0.00021786492374727668
24768,PT,3066,29580,0.10365111561866126
24796,IT,2,1530,0.00130718954248366
24800,DK,5,11220,0.000445632798573975
24806,CZ,41,45645,0.0008982363895278783
24810,RU,1,9945,0.00010055304172951231
24811,RU,2,6120,0.000326797385620915
24812,UA,8,8160,0.0009803921568627449
24822,HU,5,41820,0.00011956001912960308
24827,ES,1,4080,0.00024509803921568627
24835,EG,28,1295655,2.1610691117620047e-05
24837,RU,2,1020,0.0019607843137254897
2484,FR,1,255,0.0039215686274509795
24848,PL,1,11985,8.343763037129746e-05
2485,FR,1,2040,0.0004901960784313724
24851,GB,3,8670,0.00034602076124567473
24852,LT,4,-15555,-0.00025715204114432663
2486,FR,2,1275,0.001568627450980392
24861,DE,1,1530,0.00065359477124183
24863,EG,40,1601910,2.4970191833498762e-05
24867,GB,1,105113,9.513571109187255e-06
24872,UA,5,10200,0.0004901960784313724
24875,NL,32,35700,0.000896358543417367
24881,UA,1,22440,4.4563279857397496e-05
24893,UA,2,3060,0.00065359477124183
24896,UA,2,16320,0.00012254901960784314
24904,FR,5,30345,0.00016477179106936892
24921,LV,4,18105,0.00022093344380005517
24935,FR,1,3315,0.00030165912518853697
24936,RU,1,14025,7.130124777183601e-05
24940,DE,1835,1339254,0.0013701657788589767
24945,UA,8,10185,0.0007854688267059401
24955,RU,128,198900,0.0006435394670688787
24958,GB,1,22440,4.4563279857397496e-05
24960,RU,2,2040,0.0009803921568627449
24961,DE,110,129735,0.0008478822214514202
2497,JP,32,3710505,8.624163018241453e-06
24971,CZ,17,59415,0.0002861230329041488
24986,UA,1,510,0.0019607843137254897
24991,HU,1,3825,0.00026143790849673205
24994,IT,2,4845,0.000412796697626419
25,US,5,201705,2.478867653255993e-05
2500,Unknown,4,326400,1.2254901960784313e-05
25019,SA,113,3440715,3.284201103549698e-05
25040,GB,1,255,0.0039215686274509795
2506,Unknown,1,278715,3.587894444145453e-06
25061,GB,1,8160,0.00012254901960784314
25074,DE,1,29325,3.410059676044331e-05
25086,RU,8,71910,0.00011125017382839658
25092,UA,28,1020,0.027450980392156862
2510,Unknown,38,3060765,1.2415196854381175e-05
25100,RU,2,16320,0.00012254901960784314
25106,BY,19,229755,8.269678570651346e-05
25117,FR,2,2550,0.000784313725490196
25124,IR,228,58140,0.0039215686274509795
25129,MD,1,8160,0.00012254901960784314
25133,UA,19,95625,0.00019869281045751635
25135,GB,4,17850,0.0002240896358543417
25139,EU,15,73440,0.0002042483660130719
2514,Unknown,169,2044080,8.267778169151892e-05
25141,UA,1,2550,0.000392156862745098
25144,BA,6,119595,5.0169321459927254e-05
25145,TR,1,16830,5.9417706476530004e-05
2515,Unknown,1,3060,0.000326797385620915
25150,UA,1,1275,0.000784313725490196
25151,NL,3,16830,0.00017825311942958999
25152,EU,1,510,0.0019607843137254897
25155,UA,1,255,0.0039215686274509795
25159,RU,38,103785,0.00036614154261213085
2516,Unknown,66,17854590,3.6965284557080286e-06
25163,NG,1,4590,0.00021786492374727668
2518,Unknown,88,3659760,2.404529258749208e-05
25180,GB,7,297075,2.3563073297988723e-05
25183,UA,1,1275,0.000784313725490196
25184,IR,12,50490,0.00023767082590612002
25189,RU,1,8160,0.00012254901960784314
2519,Unknown,33,1539690,2.143288584065624e-05
25190,LT,5,23205,0.00021547080370609784
25192,CZ,4,5865,0.0006820119352088661
25198,RO,2,765,0.00261437908496732
25203,RU,2,1020,0.0019607843137254897
25206,BG,1,13703,7.297672042618404e-05
25211,BG,1,10455,9.564801530368244e-05
25222,NL,1,23205,4.309416074121957e-05
25227,RU,8,31365,0.00025506137414315315
25229,UA,135,792030,0.00017044808908753457
25233,SA,2,152617,1.3104700000655236e-05
25234,CZ,1,8160,0.00012254901960784314
25242,KW,1,65280,1.5318627450980392e-05
25248,CZ,6,107355,5.588933910856504e-05
25250,GM,2,16320,0.00012254901960784314
25255,AT,17,595680,2.853881278538813e-05
25264,IR,3,2040,0.0014705882352941176
2527,Unknown,140,3393540,4.1254854812378815e-05
2529,EU,1,1331865,7.508268480664332e-07
25299,UA,1,4080,0.00024509803921568627
25308,RU,2,20145,9.928021841648051e-05
25310,GB,7,228480,3.0637254901960784e-05
25353,CH,1,6120,0.0001633986928104575
25354,ES,2,255,0.007843137254901959
25355,RU,1,8160,0.00012254901960784314
25369,GB,43,42075,0.001021984551396316
25374,BG,3,36720,8.169934640522875e-05
25375,CH,1,14790,6.76132521974307e-05
25381,RU,2,4080,0.0004901960784313724
25385,UA,2,21930,9.119927040583675e-05
25386,UA,3,9180,0.000326797385620915
25387,SE,1,42840,2.334267040149393e-05
25389,UZ,3,2295,0.00130718954248366
25394,DE,7,151215,4.629170386535728e-05
25406,LT,3,26520,0.00011312217194570136
25408,RU,23,61455,0.00037425758685216833
25424,CZ,1,33660,2.9708853238265002e-05
25429,BI,6,2040,0.0029411764705882357
25446,RU,1,23460,4.262574595055413e-05
25454,MD,16,121635,0.00013154108603609155
25459,NL,3,44370,6.76132521974307e-05
25471,LB,3,1020,0.0029411764705882357
25472,GR,290,338640,0.0008563666430427592
25482,UA,1,1020,0.0009803921568627449
25486,DE,4,3315,0.001206636500754148
2549,MX,1,81600,1.2254901960784313e-05
25490,RU,39,171870,0.0002269156920928609
25491,LB,1,1020,0.0009803921568627449
25496,SK,2,5100,0.000392156862745098
25500,UA,2,32640,6.127450980392157e-05
25504,DE,39,27285,0.00142935678944475
25505,UA,3,7140,0.00042016806722689084
25511,RU,1,5610,0.00017825311942958999
25512,CZ,7,121890,5.742882927229469e-05
25513,RU,99,411315,0.00024069144086648922
25515,RU,5,44115,0.00011334013374135779
25521,UA,9,13770,0.00065359477124183
25531,RU,1,8415,0.00011883541295306001
25532,RU,8,77520,0.00010319917440660473
25534,RU,1,16830,5.9417706476530004e-05
2554,JP,3,108120,2.7746947835738067e-05
25540,FR,6,120615,4.974505658500187e-05
25542,NL,1,31110,3.214400514304082e-05
25543,BF,8,29070,0.00027519779841761265
25549,RU,5,44880,0.00011140819964349375
25560,DE,3,34680,8.650519031141868e-05
25577,GB,8164,76500,0.106718954248366
25579,DE,2,9180,0.00021786492374727668
25592,RU,1,17340,5.7670126874279124e-05
25596,NL,12,17340,0.0006920415224913495
25605,US,1,10710,9.337068160597572e-05
25607,NI,2,20910,9.564801530368244e-05
2561,EG,9,20400,0.00044117647058823536
25620,BO,76,163200,0.0004656862745098039
25636,CA,1,27540,3.6310820624546116e-05
25637,US,1,16320,6.127450980392157e-05
25649,US,2,17085,0.0001170617500731636
25653,US,11,122655,8.968244262361909e-05
25660,US,1,12495,8.003201280512204e-05
25668,CA,6,85170,7.044734061289187e-05
25687,US,2,4080,0.0004901960784313724
25697,US,8,10965,0.000729594163246694
2572,US,1,740119,1.3511340743853356e-06
2575,US,1,65280,1.5318627450980392e-05
25751,US,7,5355,0.00130718954248366
25761,US,10,53040,0.0001885369532428356
25764,US,2,15555,0.00012857602057216331
25769,US,1,14790,6.76132521974307e-05
25780,US,3,43605,6.879944960440316e-05
25795,US,1,13260,7.541478129713424e-05
25820,CA,30,383775,7.817080320500293e-05
25830,US,1,9180,0.00010893246187363834
25840,US,1,9180,0.00010893246187363834
2585,RU,1,1020,0.0009803921568627449
25851,US,1,2040,0.0004901960784313724
25853,US,1,65790,1.5199878400972793e-05
2586,FI,2,32640,6.127450980392157e-05
2588,LV,3,89250,3.3613445378151255e-05
25880,RU,2,11220,0.00017825311942958999
25892,US,1,7395,0.0001352265043948614
25914,CA,1,6120,0.0001633986928104575
2592,TR,1,65280,1.5318627450980392e-05
25921,US,3,58650,5.115089514066496e-05
25933,BR,10,61455,0.00016272068993572532
25934,US,1,10965,9.119927040583675e-05
25938,US,1,1530,0.00065359477124183
2594,IT,2,81600,2.4509803921568626e-05
25943,US,1,2040,0.0004901960784313724
2597,IT,1,765,0.00130718954248366
25985,US,1,1530,0.00065359477124183
2601,UA,2,255,0.007843137254901959
2602,LU,1,83130,1.2029351617947792e-05
2603,NO,2,10008,0.00019984012789768182
26068,US,1,16065,6.224712107065048e-05
2607,SK,5,556410,8.986179256303804e-06
26077,US,2,20400,9.80392156862745e-05
26088,US,1,5355,0.00018674136321195143
2609,TN,56,534225,0.00010482474612756796
26094,US,3,26265,0.00011422044545973731
26101,US,5,167280,2.989000478240077e-05
2611,BE,5,975630,5.1248936584565875e-06
26130,NE,1,765,0.00130718954248366
2614,RO,6,127755,4.696489374192791e-05
26151,US,1,510,0.0019607843137254897
26163,US,1,19890,5.0276520864756156e-05
26166,US,1,21420,4.668534080298786e-05
26193,US,2,2040,0.0009803921568627449
26198,CA,1,26775,3.734827264239029e-05
26210,BO,15,57375,0.00026143790849673205
26211,US,3,7395,0.00040567951318458417
262145,CR,3,10200,0.0002941176470588235
262150,AR,4,6630,0.0006033182503770738
262154,EC,1,2040,0.0004901960784313724
262159,BO,2,12240,0.0001633986928104575
262178,DO,4,4590,0.0008714596949891067
262181,SX,1,11475,8.714596949891067e-05
262183,PY,1,1020,0.0009803921568627449
262186,CO,70,72930,0.0009598244892362539
262187,AR,2,4080,0.0004901960784313724
262191,CO,12,10710,0.0011204481792717086
262192,AR,4,6120,0.00065359477124183
262195,AR,2,3570,0.0005602240896358543
262197,CR,18,116535,0.00015446003346634055
262208,AR,1,2805,0.00035650623885917997
262210,PE,11,68085,0.00016156275244180068
262215,CO,8,10200,0.000784313725490196
262216,AR,2,4335,0.000461361014994233
262222,AR,3,1020,0.0029411764705882357
26223,US,3,20400,0.00014705882352941178
262234,HN,3,5100,0.000588235294117647
262237,CL,2,9690,0.0002063983488132095
262248,PA,2,5865,0.00034100596760443307
262249,AR,2,2040,0.0009803921568627449
262253,PE,7,17340,0.00040369088811995383
262254,BZ,27,7905,0.0034155597722960148
262256,CL,2,4335,0.000461361014994233
262259,AR,2,5100,0.000392156862745098
262262,HN,1,6120,0.0001633986928104575
262268,BR,2,2040,0.0009803921568627449
262271,BR,9,7140,0.0012605042016806726
262273,BR,2,2040,0.0009803921568627449
262274,BR,1,2550,0.000392156862745098
262277,BR,1,2040,0.0004901960784313724
262279,BR,8160,8160,1.0
26228,US,1,261630,3.822191644689065e-06
262282,BR,3,2040,0.0014705882352941176
262286,BR,1,2040,0.0004901960784313724
262287,BR,1,42330,2.362390739428301e-05
262288,BR,6,8160,0.0007352941176470588
262293,BR,2,21420,9.337068160597572e-05
262296,BR,4,5100,0.000784313725490196
262298,BR,1,4080,0.00024509803921568627
262301,BR,1,3060,0.000326797385620915
262309,BR,1,2040,0.0004901960784313724
262310,BR,1,3060,0.000326797385620915
262311,BR,1,2040,0.0004901960784313724
262312,BR,2,1020,0.0019607843137254897
262313,BR,3,4080,0.0007352941176470588
262316,BR,1,8160,0.00012254901960784314
262318,BR,4,25500,0.00015686274509803922
262324,BR,1,3060,0.000326797385620915
262326,BR,6,1020,0.005882352941176471
262327,BR,3,4080,0.0007352941176470588
262329,BR,1,4080,0.00024509803921568627
262330,BR,1,3060,0.000326797385620915
262336,BR,5,8160,0.0006127450980392157
262338,BR,1,4080,0.00024509803921568627
262340,BR,1,255,0.0039215686274509795
